cell_Tomko_PC_assigned_weak_1[0].soma[0]	10.000000	0.500000	0	
cell_Tomko_PC_assigned_weak_1[0].soma[1]	10.000000	0.500000	1	
cell_Tomko_PC_assigned_weak_1[0].axon[0]	0.500000	0.166667	2	
cell_Tomko_PC_assigned_weak_1[0].axon[0]	0.500000	0.500000	3	
cell_Tomko_PC_assigned_weak_1[0].axon[0]	0.500000	0.833333	4	
cell_Tomko_PC_assigned_weak_1[0].axon[1]	0.375000	0.500000	5	
cell_Tomko_PC_assigned_weak_1[0].axon[2]	0.375000	0.500000	6	
cell_Tomko_PC_assigned_weak_1[0].axon[3]	0.375000	0.500000	7	
cell_Tomko_PC_assigned_weak_1[0].axon[4]	0.375000	0.500000	8	
cell_Tomko_PC_assigned_weak_1[0].axon[5]	0.375000	0.500000	9	
cell_Tomko_PC_assigned_weak_1[0].basalprox[0]	2.000000	0.071429	10	
cell_Tomko_PC_assigned_weak_1[0].basalprox[0]	2.000000	0.214286	11	
cell_Tomko_PC_assigned_weak_1[0].basalprox[0]	2.000000	0.357143	12	
cell_Tomko_PC_assigned_weak_1[0].basalprox[0]	2.000000	0.500000	13	
cell_Tomko_PC_assigned_weak_1[0].basalprox[0]	2.000000	0.642857	14	
cell_Tomko_PC_assigned_weak_1[0].basalprox[0]	2.000000	0.785714	15	
cell_Tomko_PC_assigned_weak_1[0].basalprox[0]	2.000000	0.928571	16	
cell_Tomko_PC_assigned_weak_1[0].basalprox[1]	2.000000	0.071429	17	
cell_Tomko_PC_assigned_weak_1[0].basalprox[1]	2.000000	0.214286	18	
cell_Tomko_PC_assigned_weak_1[0].basalprox[1]	2.000000	0.357143	19	
cell_Tomko_PC_assigned_weak_1[0].basalprox[1]	2.000000	0.500000	20	
cell_Tomko_PC_assigned_weak_1[0].basalprox[1]	2.000000	0.642857	21	
cell_Tomko_PC_assigned_weak_1[0].basalprox[1]	2.000000	0.785714	22	
cell_Tomko_PC_assigned_weak_1[0].basalprox[1]	2.000000	0.928571	23	
cell_Tomko_PC_assigned_weak_1[0].basaldist[0]	1.500000	0.033333	24	
cell_Tomko_PC_assigned_weak_1[0].basaldist[0]	1.500000	0.100000	25	
cell_Tomko_PC_assigned_weak_1[0].basaldist[0]	1.500000	0.166667	26	
cell_Tomko_PC_assigned_weak_1[0].basaldist[0]	1.500000	0.233333	27	
cell_Tomko_PC_assigned_weak_1[0].basaldist[0]	1.500000	0.300000	28	
